Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.C. Green,203,106,NaN,1960,1361,39044,4778,9686,3247,4447,125,509,4653,9177,3576,6553,10129,1469,1103,562,1508,2581,12928
A.J. Bramlett,196,88,NaN,1973,8,61,4,21,0,0,0,0,4,21,12,10,22,0,1,0,3,13,8
A.J. English,196,95,NaN,1963,151,3108,617,1418,259,333,9,65,608,1353,140,175,315,320,57,24,203,287,1502
A.J. Guyton,208,99,NaN,1976,80,1246,166,440,37,45,73,193,93,247,22,58,80,147,20,12,62,58,442
A.J. Hammons,198,99,NaN,1993,22,163,17,42,9,20,5,10,12,32,8,28,36,4,1,13,10,21,48
A.J. Price,213,124,NaN,1989,287,4253,600,1581,223,303,233,747,367,834,74,335,409,613,132,9,243,252,1656
A.J. Wynder,190,83,NaN,1947,6,39,3,12,6,8,0,1,3,11,1,2,3,8,1,0,4,1,12
Aaron Brooks,183,73,University of Oregon,1985,797,17088,2829,6893,1156,1371,1025,2805,1804,4088,323,1037,1360,2485,469,113,1272,1544,7839
Aaron Gordon,206,99,University of Arizona,1995,205,4958,760,1652,329,471,132,457,628,1195,316,765,1081,311,144,117,193,408,1981
Aaron Gray,213,122,University of Pittsburgh,1984,387,4517,509,1007,217,379,0,4,509,1003,518,889,1407,251,113,106,314,796,1235
Aaron Harrison,198,95,University of Kentucky,1994,26,110,5,23,6,14,3,12,2,11,4,14,18,5,6,0,4,12,19
Aaron McKie,196,94,Temple University,1972,957,22594,2554,5923,1087,1389,441,1275,2113,4648,580,2459,3039,2462,1090,199,1225,1882,6636
Aaron Miles,185,79,University of Kansas,1983,19,118,6,18,4,4,0,0,6,18,0,14,14,24,4,1,11,13,16
Aaron Swinson,196,104,Auburn University,1971,9,51,10,18,4,5,0,0,10,18,3,5,8,3,1,0,5,8,24
Aaron Williams,206,99,Xavier University,1971,838,13669,1777,3577,1063,1442,1,17,1776,3560,1159,2015,3174,525,320,597,742,2030,4618
Acie Earl,208,108,University of Iowa,1970,240,3012,428,1076,312,471,0,14,428,1062,225,388,613,81,78,154,205,412,1168
Acie Law,190,88,Texas A&M University,1985,265,3345,379,898,257,334,38,167,341,731,48,227,275,419,126,5,205,270,1053
Adam Harrington,196,90,Auburn University,1980,38,222,22,74,6,8,10,28,12,46,2,14,16,24,4,2,4,16,60
Adam Keefe,206,104,Stanford University,1970,617,10334,1120,2230,866,1213,1,14,1119,2216,999,1557,2556,427,307,173,545,1114,3107
Adam Morrison,203,92,Gonzaga University,1984,213,3989,547,1475,159,223,156,471,391,1004,100,322,422,263,49,16,204,350,1409
Adonal Foyle,208,113,Colgate University,1975,743,13122,1325,2777,356,713,0,2,1325,2775,1310,2177,3487,345,264,1201,600,1580,3006
Adonis Jordan,180,77,University of Kansas,1970,10,97,8,27,2,4,3,12,5,15,3,3,6,22,3,1,8,6,21
Adonis Thomas,201,90,University of Memphis,1993,12,74,12,28,2,2,2,10,10,18,0,6,6,6,0,0,2,12,28
Adreian Payne,208,107,Michigan State University,1991,134,2099,258,639,91,137,14,65,244,574,125,343,468,96,62,36,132,285,621
Adrian Branch,201,83,University of Maryland,1963,130,1429,331,727,163,219,9,39,322,688,114,139,253,96,83,17,125,193,834
Adrian Caldwell,203,120,Lamar University,1966,242,2172,204,430,83,187,0,5,204,425,238,425,663,45,72,49,154,357,491
Adrian Dantley*,196,94,University of Notre Dame,1956,482,15865,3565,6848,3237,3993,3,26,3562,6822,834,1262,2096,1214,334,62,1125,1155,10370
Adrian Griffin,196,98,Seton Hall University,1974,512,8304,815,1870,304,401,50,180,765,1690,535,1036,1571,680,453,61,352,906,1984
Al Harrington,206,104,NaN,1980,1132,33118,6055,13613,2606,3567,1275,3541,4780,10072,1745,4688,6433,1900,1011,292,2168,3565,15991
Al Horford,208,111,University of Florida,1986,646,21535,3923,7427,1199,1603,195,563,3728,6864,1472,4136,5608,1926,534,784,1031,1537,9240
Al Jefferson,208,131,NaN,1985,879,25815,6050,12136,1983,2797,8,63,6042,12073,2024,5523,7547,1317,612,1070,1190,2281,14091
Al Thornton,203,99,Florida State University,1983,442,11736,1893,4136,976,1307,93,323,1800,3813,564,1176,1740,505,265,199,590,1120,4855
Al Wood,198,87,University of North Carolina,1958,212,4951,991,2188,462,592,19,95,972,2093,218,399,617,384,160,82,261,441,2463
Al-Farouq Aminu,206,99,Wake Forest University,1990,520,12520,1398,3281,665,917,305,942,1093,2339,727,2221,2948,639,494,307,667,967,3766
Alaa Abdelnaby,208,108,Duke University,1968,385,5017,983,1940,333,472,0,6,983,1934,446,851,1297,125,111,107,389,777,2299
Alan Anderson,198,99,Michigan State University,1982,330,6793,843,2084,404,495,331,963,512,1121,151,563,714,371,182,31,290,602,2421
Alan Henderson,206,106,Indiana University,1972,652,13780,1976,4215,1137,1778,5,26,1971,4189,1426,1823,3249,397,364,297,717,1436,5094
Alan Ogg,218,108,University of Alabama at Birmingham,1967,86,686,80,165,28,48,0,2,80,163,51,92,143,17,13,61,33,138,188
Alan Williams,198,90,Drake University,1948,57,776,148,291,79,126,0,1,148,290,108,222,330,28,31,37,43,140,375
Alando Tucker,203,86,Oklahoma Baptist University,1943,66,522,94,221,63,81,11,41,83,180,35,24,59,20,5,2,24,28,262
Albert King,198,86,University of Maryland,1959,300,6592,1271,2891,455,566,44,151,1227,2740,373,733,1106,535,202,86,518,815,3041
Alec Burks,198,97,University of Colorado,1991,301,6618,1053,2458,747,993,181,503,872,1955,205,672,877,534,184,46,412,573,3034
Alec Kessler,211,104,University of Georgia,1967,210,2937,425,998,224,301,10,24,415,974,258,493,751,81,39,71,192,451,1084
Aleksandar Djordjevic,188,89,NaN,1967,8,61,8,16,4,5,5,7,3,9,1,4,5,5,0,0,5,3,25
Aleksandar Radojevic,221,113,Barton County Community College,1976,15,152,8,26,10,16,0,0,8,26,11,25,36,7,2,3,20,37,26
Alex Abrines,198,86,NaN,1993,68,1055,134,341,44,49,94,247,40,94,18,68,86,40,37,8,33,114,406
Alex Acker,196,83,Pepperdine University,1983,55,433,64,168,10,20,15,45,49,123,17,36,53,28,11,8,18,22,153
Alex Blackwell,198,113,Monmouth University,1970,27,109,14,42,6,8,0,3,14,39,10,13,23,7,4,2,5,14,34
Alex English*,201,86,University of South Carolina,1954,565,18800,5579,11232,2224,2623,10,45,5569,11187,1082,1364,2446,2176,474,179,1287,1348,13392
Alex Garcia,190,99,NaN,1980,10,159,19,59,4,6,5,18,14,41,7,8,15,18,6,1,9,15,47
Alex Kirk,213,111,University of New Mexico,1991,5,14,1,4,2,2,0,0,1,4,1,0,1,1,0,0,0,1,4
Alex Len,216,117,University of Maryland,1993,266,5261,706,1518,417,582,5,22,701,1496,515,1142,1657,177,113,283,347,753,1834
Alex Poythress,201,107,University of Kentucky,1993,6,157,25,54,8,10,6,19,19,35,11,18,29,5,3,2,3,14,64
Alex Scales,193,83,University of Oregon,1978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Stepheson,208,122,University of Southern California,1987,16,146,18,54,8,24,0,0,18,54,38,18,56,4,2,10,0,24,44
Alex Stivrins,203,99,University of Colorado,1962,41,166,39,82,7,12,0,4,39,78,17,24,41,7,4,4,17,24,85
Alexander Johnson,206,108,Florida State University,1983,102,1302,152,294,135,201,0,0,152,294,82,193,275,30,38,45,89,217,439
Alexander Volkov,208,98,NaN,1964,149,2453,388,853,195,318,48,144,340,709,155,229,384,333,102,52,154,344,1019
Alexey Shved,198,86,NaN,1988,224,4038,578,1542,418,540,209,668,369,874,108,346,454,566,140,55,291,249,1783
Alexis Ajinca,218,112,NaN,1988,327,4245,704,1416,264,333,24,76,680,1340,363,865,1228,153,113,200,267,734,1696
Alfredrick Hughes,198,92,NaN,1960,68,866,152,372,49,84,3,17,149,355,49,64,113,61,26,5,63,79,356
Allan Houston,198,90,University of Tennessee,1971,839,28311,5337,12017,2572,2979,1305,3247,4032,8770,353,2081,2434,1990,566,139,1760,2062,14551
Allan Ray,188,86,Villanova University,1984,47,710,100,259,42,55,48,116,52,143,18,51,69,43,20,3,42,85,290
Allen Crabbe,198,95,University of California,1992,226,5142,689,1511,218,257,282,686,407,825,54,469,523,237,138,52,144,447,1878
Allen Iverson*,183,74,Georgetown University,1975,1064,43303,9532,22369,7235,9256,1158,3704,8374,18665,814,3025,3839,6488,2213,185,3740,2006,27457
Allen Leavell,185,77,Oklahoma City University,1957,304,5678,803,1879,541,645,74,290,729,1589,63,303,366,1092,283,36,395,536,2221
Alonzo Gee,198,102,University of Alabama,1987,527,10851,1209,2759,692,920,216,658,993,2101,488,1148,1636,504,454,126,535,944,3326
Alonzo Mourning*,208,108,Georgetown University,1970,875,26677,5216,9913,4139,6003,22,89,5194,9824,2237,5098,7335,964,422,2430,2266,2892,14593
Alphonso Ford,185,86,Mississippi Valley State University,1971,11,114,16,52,2,4,1,10,15,42,8,12,20,10,3,0,9,7,35
Alton Ford,185,86,Mississippi Valley State University,1971,73,524,70,138,46,66,0,0,70,138,35,89,124,11,6,8,37,115,186
Alton Lister,213,108,Arizona State University,1958,775,14674,1888,3699,1002,1643,1,9,1887,3690,1479,3239,4718,628,248,1080,1030,2421,4779
Alvan Adams,206,95,University of Oklahoma,1954,310,7477,1379,2718,651,784,1,5,1378,2713,510,1170,1680,1038,362,172,682,978,3410
Alvin Heggs,203,102,University of Texas at Austin,1967,4,14,3,5,2,3,0,0,3,5,1,1,2,0,0,0,0,0,8
Alvin Jones,211,120,Georgia Institute of Technology,1978,23,126,8,20,10,20,0,0,8,20,13,23,36,3,3,9,11,35,26
Alvin Robertson,190,83,University of Arkansas,1962,848,26675,4659,9784,1906,2579,276,922,4383,8862,1728,2607,4335,4192,2267,341,2249,2856,11500
Alvin Scott,201,83,Oral Roberts University,1955,77,1238,111,259,53,74,1,5,110,254,46,115,161,127,39,25,60,125,276
Alvin Sims,193,106,University of Louisville,1974,4,25,4,10,2,5,1,1,3,9,3,1,4,5,2,0,6,2,11
Alvin Williams,198,90,Drake University,1948,514,13681,1789,4232,690,912,217,692,1572,3540,276,945,1221,1980,587,112,681,976,4485
Amal McCaskill,211,106,Marquette University,1973,114,968,81,215,42,69,0,3,81,212,75,138,213,36,24,36,52,132,204
Amar'e Stoudemire,208,111,NaN,1982,905,27499,6184,11499,4276,5630,30,131,6154,11368,2139,4822,6961,1095,665,1092,2031,2846,16674
Amir Johnson,206,108,NaN,1987,745,16623,2339,4073,796,1181,85,250,2254,3823,1552,2662,4214,895,464,782,832,2287,5559
Anderson Varejao,208,123,NaN,1982,680,15547,1857,3658,984,1559,1,43,1856,3615,1541,3111,4652,769,553,415,614,1700,4699
Andrae Patterson,206,107,Indiana University,1975,40,304,46,101,28,36,0,5,46,96,31,36,67,16,20,7,23,66,120
Andray Blatche,211,106,NaN,1986,564,12462,2327,4981,1000,1380,52,219,2275,4762,1043,1981,3024,798,492,458,914,1382,5706
Andre Barrett,178,78,Seton Hall University,1982,124,1584,172,469,47,64,33,135,139,334,41,95,136,256,58,2,89,133,424
Andre Brown,206,111,DePaul University,1981,75,598,82,159,33,66,0,1,82,158,70,108,178,11,14,8,48,73,197
Andre Dawkins,196,97,Duke University,1991,4,22,1,6,0,0,1,6,0,0,0,2,2,1,0,0,1,3,3
Andre Drummond,211,126,University of Connecticut,1993,385,11439,2216,4043,683,1793,5,19,2211,4024,1786,3160,4946,276,476,580,594,1184,5120
Andre Emmett,196,104,Texas Tech University,1982,14,73,6,13,8,13,0,1,6,12,2,6,8,1,2,1,3,6,20
Andre Iguodala,198,97,University of Arizona,1984,976,33834,4543,9776,2689,3764,908,2705,3635,7071,941,4192,5133,4396,1548,463,1991,1816,12683
Andre Miller,206,102,Michigan State University,1971,1562,45930,6769,14640,4379,5444,218,986,6551,13654,1547,3934,5481,9717,1738,252,3545,3290,18135
Andre Moore,206,97,Loyola University of Chicago,1964,20,100,18,54,12,16,0,0,18,54,12,16,28,12,4,2,8,12,48
Andre Owens,193,90,University of Houston,1980,54,602,67,181,37,52,21,56,46,125,24,44,68,55,18,3,37,62,192
Andre Roberson,196,83,Oral Roberts University,1955,256,5614,476,1006,110,223,100,385,376,621,273,729,1002,211,219,160,151,552,1162
Andre Spencer,198,95,Northern Arizona University,1964,96,1542,250,562,192,262,0,4,250,558,136,172,308,92,72,28,94,214,692
Andre Turner,180,72,University of Memphis,1964,181,2638,318,765,143,186,14,61,304,704,66,205,271,558,145,3,224,211,793
Andrea Bargnani,213,111,NaN,1985,550,15806,2932,6676,1382,1677,627,1771,2305,4905,530,2011,2541,653,207,470,851,1338,7873
Andreas Glyniadakis,216,127,NaN,1981,13,81,8,17,1,2,0,0,8,17,2,6,8,1,0,0,9,19,17
Andrei Kirilenko,206,99,NaN,1981,797,23916,3146,6637,2772,3675,367,1185,2779,5452,1400,2952,4352,2169,1097,1461,1518,1605,9431
Andres Guibert,208,102,NaN,1968,22,200,22,67,16,25,0,4,22,63,26,35,61,12,8,2,18,35,60
Andres Nocioni,201,102,NaN,1979,590,14004,2231,5179,1109,1389,711,1885,1520,3294,408,2248,2656,716,254,261,837,1655,6282
Andrew Bogut,213,117,University of Utah,1984,698,20095,2989,5605,831,1501,3,26,2986,5579,1772,4425,6197,1569,448,1095,1220,2210,6812
Andrew Bynum,213,129,NaN,1987,444,11206,2011,3671,1024,1480,1,9,2010,3662,1060,2306,3366,519,139,686,678,1059,5047
Andrew DeClercq,208,104,University of Florida,1973,634,10949,1256,2483,674,1073,0,2,1256,2481,1129,1614,2743,370,440,330,604,1950,3186
Andrew Gaze,201,92,Seton Hall University,1965,26,128,16,42,2,2,9,24,7,18,3,9,12,11,4,2,7,16,43
Andrew Goudelock,190,90,College of Charleston,1988,49,475,77,196,14,16,29,84,48,112,7,27,34,24,10,2,28,36,197
Andrew Harrison,198,96,University of Kentucky,1994,72,1474,117,360,148,194,43,156,74,204,23,113,136,198,54,20,85,194,425
Andrew Lang,211,111,University of Arkansas,1966,808,17709,2133,4575,991,1320,6,25,2127,4550,1341,2625,3966,489,374,1225,821,2278,5263
Andrew Nicholson,206,113,St. Bonaventure University,1989,323,4422,751,1628,206,269,92,298,659,1330,203,715,918,136,90,101,229,513,1800
Andrew Toney,190,80,University of Louisiana at Lafayette,1957,157,3901,730,1558,500,602,70,201,660,1357,61,253,314,671,96,38,393,332,2030
Andrew Wiggins,203,90,University of Kansas,1995,245,8862,1800,4001,1196,1573,199,605,1601,3396,342,652,994,523,246,126,546,538,4995
Andris Biedrins,211,108,NaN,1986,516,11146,1432,2409,383,766,0,2,1432,2407,1190,2441,3631,467,331,580,479,1626,3247
Andy Panko,206,100,Lebanon Valley College,1977,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Rautins,193,86,Syracuse University,1986,5,24,3,7,1,2,1,4,2,3,0,1,1,3,1,0,7,0,8
Andy Toolson,198,95,Brigham Young University,1966,60,523,58,146,28,37,15,44,43,102,32,41,73,32,14,2,26,70,159
Anfernee Hardaway,201,88,University of Memphis,1971,780,25806,4274,9410,2302,2969,533,1670,3741,7740,1044,2389,3433,3701,1195,332,1893,1708,11383
Ansu Sesay,206,102,University of Mississippi,1976,127,1301,161,371,71,111,8,29,153,342,102,121,223,62,38,30,58,162,401
Antawn Jamison,203,101,University of North Carolina,1976,1149,40044,8157,18060,3715,5160,1248,3612,6909,14448,2693,6019,8712,1845,1119,442,1805,2759,21277
Anthony Avent,206,106,Seton Hall University,1969,426,8100,964,2417,419,604,0,2,964,2415,704,1218,1922,343,199,242,501,971,2347
Anthony Bennett,203,111,"University of Nevada, Las Vegas",1993,151,1905,251,641,120,179,36,138,215,503,132,340,472,77,58,27,99,206,658
Anthony Bonner,203,97,Saint Louis University,1968,318,7372,881,1881,435,737,2,16,879,1865,708,1018,1726,442,346,84,450,784,2199
Anthony Bowie,198,86,University of Oklahoma,1963,461,8349,1247,2628,384,466,67,211,1180,2417,299,722,1021,840,288,106,478,711,2945
Anthony Brown,206,111,DePaul University,1981,51,917,75,226,17,20,34,124,41,102,25,111,136,35,24,7,27,64,201
Anthony Carter,185,86,University of Hawaii,1975,656,12647,1275,3149,441,621,128,504,1147,2645,251,1102,1353,2432,628,121,997,1152,3119
Anthony Cook,206,92,University of Arizona,1967,141,1702,192,432,96,189,0,7,192,425,192,292,484,38,46,105,78,162,480
Anthony Davis,206,97,University of Texas at El Paso,1968,335,11531,2843,5543,1733,2203,78,269,2765,5274,849,2555,3404,590,436,793,595,815,7497
Anthony Frederick,201,92,Pepperdine University,1964,147,1640,291,663,130,186,6,22,285,641,137,143,280,135,76,45,132,200,718
Anthony Goldwire,185,82,University of Houston,1971,385,6846,784,1938,393,497,307,783,477,1155,95,420,515,1049,223,11,364,535,2268
Anthony Grundy,190,81,North Carolina State University,1979,12,108,19,38,9,14,5,15,14,23,1,16,17,9,7,0,9,14,52
Anthony Johnson,196,97,University of Portland,1932,1038,19532,2121,5145,814,1092,402,1115,1719,4030,368,1323,1691,2887,692,114,1092,1643,5458
Anthony Jones,198,88,"University of Nevada, Las Vegas",1962,262,2758,396,996,175,231,26,85,370,911,141,205,346,209,138,60,150,275,993
Anthony Mason,201,113,Tennessee State University,1966,882,30605,3583,7033,2488,3511,2,12,3581,7021,1912,5367,7279,2963,648,244,1549,2353,9656
Anthony Miller,206,102,Michigan State University,1971,185,1648,198,388,114,198,2,8,196,380,185,305,490,66,58,26,91,245,512
Anthony Morrow,196,95,Georgia Institute of Technology,1985,654,13377,2118,4777,662,750,864,2113,1254,2664,332,944,1276,532,354,78,394,984,5762
Anthony Parker,198,97,Bradley University,1975,494,13752,1661,3744,560,705,596,1474,1065,2270,241,1333,1574,1129,439,85,495,792,4478
Anthony Peeler,193,94,University of Missouri,1969,865,21657,3291,7675,911,1142,993,2570,2298,5105,601,1658,2259,2093,836,144,1070,1767,8486
Anthony Pullard,208,111,McNeese State University,1966,8,37,8,18,1,3,0,0,8,18,2,6,8,2,2,2,5,5,17
Anthony Randolph,208,92,Louisiana State University,1989,292,4431,800,1758,473,647,21,87,779,1671,378,860,1238,220,172,248,351,518,2094
Anthony Roberson,196,83,Oral Roberts University,1955,94,867,146,375,14,15,78,227,68,148,14,57,71,55,33,2,32,69,384
Anthony Taylor,193,79,University of Oregon,1965,21,368,60,151,24,32,0,2,60,149,11,23,34,43,22,5,20,37,144
Anthony Tolliver,203,108,Creighton University,1985,642,13249,1433,3450,632,823,728,2023,705,1427,578,1814,2392,616,256,209,428,1120,4226
Anthony Tucker,203,99,Wake Forest University,1969,62,982,96,210,51,83,0,1,96,209,44,126,170,68,46,11,56,129,243
Antoine Carr,206,102,Wichita State University,1961,1064,21507,4019,8007,2081,2662,6,53,4013,7954,1266,2440,3706,1205,391,993,1312,3310,10125
Antoine Rigaudeau,201,95,NaN,1971,11,91,8,35,0,0,1,5,7,30,4,4,8,6,3,0,6,11,17
Antoine Walker,193,86,Niagara University,1955,970,34486,6666,16087,2292,3676,1496,4605,5170,11482,2076,5510,7586,3435,1174,527,2757,2733,17120
Antoine Wright,201,95,Texas A&M University,1984,353,6946,753,1828,271,401,187,620,566,1208,197,631,828,375,167,93,277,725,1964
Antonio Anderson,188,83,Canisius College,1945,1,15,1,3,0,0,0,0,1,3,1,0,1,0,0,0,1,1,2
Antonio Burks,185,90,University of Memphis,1980,81,789,79,204,24,42,4,17,75,187,5,44,49,104,33,1,48,70,186
Antonio Daniels,193,88,Bowling Green State University,1975,946,20692,2369,5345,1804,2273,381,1214,1988,4131,224,1466,1690,3111,590,86,990,972,6923
Antonio Davis,206,97,University of Texas at El Paso,1968,1027,29594,3535,7970,2893,3979,2,24,3533,7946,2620,5014,7634,1175,490,964,1511,2882,9965
Antonio Harvey,211,102,Pfeiffer University,1970,242,2775,313,789,130,263,1,5,312,784,224,409,633,73,81,177,152,331,757
Antonio Lang,211,111,University of Arkansas,1966,153,1433,122,272,91,126,0,8,122,264,80,135,215,52,59,47,91,215,335
Antonio McDyess,206,99,University of Alabama,1974,1057,28980,5172,10429,2166,3247,7,60,5165,10369,2548,5347,7895,1336,819,1126,1680,3194,12517
Antonis Fotsis,208,99,NaN,1981,28,320,42,104,17,20,7,23,35,81,25,37,62,10,9,11,21,22,108
Archie Goodwin,196,90,University of Kentucky,1994,180,2610,403,922,294,415,50,206,353,716,93,266,359,230,73,43,220,200,1150
Arinze Onuaku,206,115,Syracuse University,1987,24,156,16,28,5,12,0,0,16,28,13,30,43,12,1,4,6,15,37
Armen Gilliam,206,104,"University of Nevada, Las Vegas",1964,1080,31491,5809,11836,3595,4644,0,21,5809,11815,2548,5050,7598,1292,814,711,2079,2406,15213
Armon Johnson,196,107,Bemidji State University,1920,56,525,86,187,25,34,7,18,79,169,13,49,62,67,15,1,50,49,204
Arnett Moultrie,211,112,Mississippi State University,1990,59,729,94,172,22,33,0,0,94,172,87,93,180,12,25,14,26,65,210
Aron Baynes,208,117,Washington State University,1986,295,4150,611,1189,321,396,1,7,610,1182,429,783,1212,157,57,124,229,579,1544
Arron Afflalo,196,95,"University of California, Los Angeles",1985,787,22649,3293,7355,1525,1845,943,2468,2350,4887,357,2000,2357,1485,378,140,947,1592,9054
Art Long,206,113,University of Cincinnati,1972,124,1431,176,398,49,107,4,6,172,392,151,228,379,54,32,53,105,255,405
Artis Gilmore*,218,108,Jacksonville University,1949,376,9342,1499,2480,1198,1740,0,3,1499,2477,720,1727,2447,425,148,436,739,1076,4196
Arvydas Macijauskas,193,97,NaN,1980,19,135,14,41,13,15,3,12,11,29,3,7,10,5,7,0,8,10,44
Arvydas Sabonis*,221,126,NaN,1964,470,11375,2082,4160,1329,1690,136,415,1946,3745,734,2702,3436,964,370,494,837,1290,5629
Ashraf Amaya,203,104,Southern Illinois University,1971,85,1248,133,292,112,177,1,2,132,290,133,222,355,36,29,13,67,180,379
Askia Jones,196,90,Kansas State University,1971,11,139,15,44,13,16,2,12,13,32,6,5,11,16,6,0,9,19,45
Audie Norris,206,104,Jackson State University,1960,78,1117,133,245,135,203,0,3,133,242,90,160,250,47,42,33,100,221,401
Austin Croshere,206,106,Providence College,1975,673,11580,1505,3698,1071,1248,434,1277,1071,2421,711,1972,2683,636,246,217,662,1099,4515
Austin Daye,211,99,Gonzaga University,1988,404,5300,731,1827,237,307,265,741,466,1086,174,815,989,279,146,148,261,619,1964
Austin Rivers,193,90,Duke University,1992,423,9401,1292,3103,550,840,315,931,977,2172,138,695,833,900,263,65,457,872,3449
Avery Bradley,188,81,University of Texas at Austin,1990,413,11619,2025,4578,438,567,520,1421,1505,3157,275,989,1264,702,446,87,565,885,5008
Avery Johnson,178,79,Southern University and A&M College,1965,1259,30161,4117,8603,1792,2541,32,215,4085,8388,428,1549,1977,6628,1155,176,2008,1896,10058
Awvee Storey,198,100,Arizona State University,1977,60,407,58,140,23,45,4,16,54,124,43,38,81,21,10,2,15,66,143
Axel Toupane,201,89,NaN,1992,29,399,35,88,13,17,15,48,20,40,8,25,33,15,9,8,6,52,98
B.J. Armstrong,201,102,NaN,1967,845,18979,2995,6282,1244,1454,452,1076,2543,5206,210,1226,1436,2690,574,47,956,1233,7686
B.J. Tyler,203,99,NaN,1969,55,809,72,189,35,50,16,51,56,138,13,49,62,174,36,2,97,58,195
Baron Davis,190,94,"University of California, Los Angeles",1979,939,31822,5468,13396,2625,3666,1531,4752,3937,8644,829,2685,3514,6778,1689,402,2585,2630,15092
Barry Stevens,196,88,Iowa State University,1963,2,6,1,2,0,0,0,0,1,2,2,0,2,0,0,0,0,1,2
Barry Sumpter,211,97,Austin Peay State University,1965,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bart Kofoed,193,95,University of Nebraska at Kearney,1964,111,702,58,150,43,70,3,16,55,134,16,40,56,108,19,4,56,95,162
Ben Bentil,206,106,Providence College,1995,3,10,0,3,0,0,0,1,0,2,0,2,2,0,0,0,1,1,0
Ben Coleman,206,106,University of Maryland,1961,297,5110,809,1582,469,617,0,8,809,1574,421,857,1278,190,137,140,429,843,2087
Ben Davis,206,108,University of Arizona,1972,40,154,21,59,12,26,0,0,21,59,30,23,53,5,6,2,7,25,54
Ben Gillery,213,106,Georgetown University,1965,24,84,6,19,13,23,0,0,6,19,7,16,23,2,2,4,5,29,25
Ben Gordon,190,90,University of Connecticut,1983,744,20366,3931,9092,2051,2394,1171,2921,2760,6171,333,1518,1851,1868,508,114,1551,1720,11084
Ben Handlogten,208,108,Western Michigan University,1973,38,469,68,130,27,44,0,1,68,129,45,75,120,19,10,9,28,87,163
Ben Hansbrough,190,92,University of Notre Dame,1987,28,200,15,45,21,27,6,23,9,22,2,16,18,21,7,2,18,23,57
Ben McDonald,203,95,"University of California, Irvine",1962,176,3692,463,989,125,172,10,44,453,945,215,353,568,236,77,17,149,487,1061
Ben McLemore,196,88,University of Kansas,1993,293,7476,993,2384,389,499,367,1043,626,1341,137,617,754,352,203,53,395,668,2742
Ben Poquette,206,106,Central Michigan University,1955,276,4360,500,1049,261,337,5,35,495,1014,329,719,1048,227,98,158,180,561,1266
Ben Uzoh,190,92,University of Tulsa,1988,78,1178,131,342,55,94,3,10,128,332,68,127,195,191,47,14,63,91,320
Ben Wallace,206,108,Virginia Union University,1974,1160,34290,2707,5773,1181,2848,7,55,2700,5718,3678,7408,11086,1542,1457,2254,1128,2199,6602
Beno Udrih,190,92,NaN,1982,982,20992,3114,6774,1134,1362,533,1522,2581,5252,360,1624,1984,3392,654,79,1388,1466,7895
Benoit Benjamin,213,113,Creighton University,1964,1019,26797,4401,8863,2465,3430,1,24,4400,8839,1808,5726,7534,1275,652,1859,2304,2834,11268
Bernard James,208,108,Florida State University,1985,92,761,76,153,51,75,0,3,76,150,85,127,212,13,17,61,34,105,203
Bernard King*,201,92,University of Tennessee,1956,389,12398,3382,6864,1900,2415,20,113,3362,6751,624,1188,1812,1395,304,64,1181,1096,8684
Bernard Robinson,198,95,University of Michigan,1980,159,2187,231,570,170,214,5,33,226,537,96,267,363,145,126,18,126,247,637
Bernard Thompson,198,95,"California State University, Fresno",1962,204,2935,410,934,258,327,0,17,410,917,164,188,352,266,127,27,181,391,1078
Bill Cartwright,216,111,University of San Francisco,1957,568,14401,2074,4229,1501,1978,0,0,2074,4229,961,2146,3107,784,231,195,900,1510,5649
Bill Curley,206,99,Boston College,1972,195,2115,211,469,108,149,3,12,208,457,163,214,377,77,81,57,112,451,533
Bill Edwards,203,97,Wright State University,1971,3,44,2,18,2,5,0,5,2,13,5,9,14,4,3,1,4,6,6
Bill Garnett,208,99,University of Portland,1940,145,2320,261,549,236,336,0,4,261,545,204,357,561,162,67,37,183,370,758
Bill Hanzlik,201,83,University of Notre Dame,1957,431,9285,1212,2843,1147,1478,41,188,1171,2655,379,819,1198,1244,445,121,647,1329,3612
Bill Jones,201,79,University of Iowa,1966,37,307,50,102,29,43,0,1,50,101,20,27,47,20,17,6,18,38,129
Bill Laimbeer,211,111,University of Notre Dame,1957,743,23932,3983,8071,1578,1856,196,582,3787,7489,1708,5386,7094,1456,515,621,1014,2412,9740
Bill Martin,201,92,Georgetown University,1962,84,860,168,374,61,75,0,9,168,365,53,83,136,58,30,9,74,129,397
Bill Walton*,211,95,"University of California, Los Angeles",1952,157,3305,510,953,290,420,0,2,510,951,315,860,1175,330,89,256,340,417,1310
Bill Wennington,213,111,St. John's University,1963,720,9740,1379,3006,538,684,5,36,1374,2970,688,1460,2148,440,226,248,440,1680,3301
Billy Donovan,180,77,Providence College,1965,44,364,44,109,17,21,0,7,44,102,5,20,25,87,16,1,42,33,105
Billy Knight,198,88,University of Pittsburgh,1952,136,1600,312,708,128,146,22,50,290,658,100,136,236,160,32,4,140,124,774
